GeneSymbol
CCL5
ZNF516
ZNF202
WASF1
USP46
USP46
TXNDC13
TUSC4
TRIM28
TRAF3IP2
TOX
TNFSF10
TNFSF10
TNFRSF1B
TGFBR3
TARBP1
SYNE2
STOM
STOM
STMN1
SPOCK2
SLC4A4
SH3BP5
SH3BP5
SERTAD2
SCD
S100A4
RPL29
RNF144
RGS10
RABEPK
PTPRK
PLEK
PHACTR2
PHACTR2
PGEA1
PDHA1
PDE4A
PCNT2
PAM
PAICS
PAICS
OPTN
NUCB2
NT5E
NRIP1
NRCAM
NDUFS2
MYO6
MTR
MONDOA
MMP19
MEST
KLF7
KBTBD11
JTV1
IRS1
INPP5A
IMPDH2
IGF1R
IFNGR2
HPGD
HLA-DRB1
HK2
HADHSC
GSTM2
GLIPR1
GATM
FKBP4
FGFR2
FCGBP
FAM32A
EPHB4
ENOSF1
DPYSL2
DHRS3
DBN1
COX11
CKAP4
CDH1
CDC16
CD99
CD99
CCT3
CCL5
CCL4
C5orf13
BRD8
BNIP3
BHLHB2
BCL9
ATXN1
APOBEC3G
ANXA4
ANXA2
ANXA1
ALDH5A1
AHSA1
13CDNA73
